aire,agua,suelo,alcantarillado,coprocesamiento,dispfinal,incineracion,otros,reciclado,reutilizacion,tratamiento,suma_eyt,cas,Sustancia
70124253.34101823,198.8844023,219934.22638746,1304.4069151936,36725.32183,85938.350432,0,379713.8154178,1293.604,1480740,392209.2991634,72722311.24956638,71-43-2,Benceno
20376882.304167695,21813.73548588,2.714794,1.23028,1903,233995.81779176,15195,0,169708.0656194,13506,59696.50008,20892704.368218735,79-01-6,Tricloroetileno
7079881.038476199,23021.36803,194.57,680.52,193630.689,4190564.42166,97036.03359199999,2448.402093,21104.0086,13242.3,111079.57585354999,11732882.927304748,50-00-0,Formaldehido
36421.24063233277,202436.00974857408,3895.0816297361184,7830995.487904964,58074.17208858,125005.995419085,593.016,11344.75957438092,855320.317015135,46048.09519,1374.06412915,9171508.239331938,7440-43-9,"Cadmio (polvos, respirables, vapores o humos)"
57066.06177658967,151248.67404879155,3033.436937561133,3674.870418441986,325004.59673879703,8252475.37622382,0,169413.9112202583,3120.6363105022,87.870000115,125.432522284,8965250.866197161,7440-38-2,"Arsénico (polvos, respirables, vapores o humos)"
2700.870340104,13748.85940808406,2652.1953652526313,7894.355115599426,66021.206487965,2973396.470241,0,2152.39127604302,5310.148,0.1629,7.736747960000001,3073884.395882008,S/C1,Arsénico (compuestos)
1570.172782714437,1298537.207767662,66059.77400936381,13666.955131684,5810.52312029,5032.001645314,0,49946.23226672,86564.196,9.48,685.62763063,1527882.1703543782,Cd,Cadmio (Compuestos solubles)
20760.7957195,967.41633,7180.031590546,1930.44100176,28351,433661.83271091443,104614.647207962,137714.9878,45103.0125,16384.26358,525665.2340563,1322333.6624969826,1336-36-3,Bifenilos policlorados
216.823863747306,532311.2896296909,45299.112710492,10711.941063709,14074.99265231,362802.152819246,0,12465.0864548,1970.5673,11.589,32.432129386,979895.9876233812,As,Arsénico (Compuestos solubles)
774892.0499711314,109,311.2,0,0,6503,2.2600000000000002,0,148034,0,0,929851.5099711313,75-07-0,Acetaldehido
725380.84104004,0,0,0,0,71098.804,61180,0,899.71,29961,0,888520.35504004,106-99-0,Butadieno
816577.676686,1526.400082532,0.0026864,0,20006.61,23628.01208204,0,0,0,0,0,861738.701536972,75-01-4,Cloruro de vinilo
2.54,0,0,0,0,186514,0,0,0,0,0,186516.54,91-59-8,Beta-naftalina
2217.9185578156,45728.07286694092,9679.865518618759,17499.291263327344,26260.85194945,5643.4184976,0,406.47198379878,27070.0111,1.051,119.42699999999999,134626.3797375514,S/C2,Cadmio (compuestos)
255.42769400310002,0,0.002938,0,0,13210.01325064,17776,0,0,0,0,31241.4438826431,87-86-5,Pentaclorofenol
3134.04,0,0,0,0,8100,0,0,0,0,0,11234.04,75-21-8,Oxido de etileno
0,0,7028,0,0,0,0,0,0,0,0,7028,92-67-1,4-Amino difenilo
5900,0,0,0,0,0,0,0,0,0,0,5900,101-14-4,"4,4'metileno-bis (2-cloroanilina) (MBOCA)"
0,0,0.0042353,0,0,183.91909452,0,0,0,0,236,419.92332982,58-89-9,Lindano (HCH)
92.3009,0,0,0,0,0,0,0,0,0,0,92.3009,50-32-8,Benzo(a)pireno