estado,cve_ent,municipio
Aguascalientes,01,Acajete
Aguascalientes,01,Ahuazotepec
Aguascalientes,01,Amozoc
Aguascalientes,01,Atlixco
Aguascalientes,01,Atzala
Aguascalientes,01,Chalchicomula de Sesma
Aguascalientes,01,Chietla
Aguascalientes,01,Chignautla
Aguascalientes,01,Coronango
Aguascalientes,01,Cuautinchan
Aguascalientes,01,Cuautlancingo
Aguascalientes,01,Huauchinango
Aguascalientes,01,Huejotzingo
Aguascalientes,01,Hueytamalco
Aguascalientes,01,Izucar de Matamoros
Aguascalientes,01,Juan C. Bonilla
Aguascalientes,01,Nopalucan
Aguascalientes,01,Oriental
Aguascalientes,01,Palmar de Bravo
Aguascalientes,01,Puebla
Aguascalientes,01,Rafael Lara Grajales
Aguascalientes,01,San Andres Cholula
Aguascalientes,01,San Jose Chiapa
Aguascalientes,01,San Martin Texmelucan
Aguascalientes,01,San Miguel Xoxtla
Aguascalientes,01,San Pedro Cholula
Aguascalientes,01,San Salvador Huixcolotla
Aguascalientes,01,San Salvador el Verde
Aguascalientes,01,Santiago Miahuatlan
Aguascalientes,01,Tecali de Herrera
Aguascalientes,01,Tehuacan
Aguascalientes,01,Tepanco de Lopez
Aguascalientes,01,Tepeaca
Aguascalientes,01,Tepeyahualco
Aguascalientes,01,Tepezala
Aguascalientes,01,Teziutlan
Aguascalientes,01,Tlacotepec de Benito Juarez
Aguascalientes,01,Tlahuapan
Aguascalientes,01,Xicotepec
Aguascalientes,01,Xiutetelco
Aguascalientes,01,Yehualtepec
Baja California Sur,03,Mulege
Campeche,04,Escarcega
Coahuila de Zaragoza,05,Muzquiz
Colima,06,Coquimatlan
Colima,06,Villa de Alvarez
Chiapas,07,Chicoasen
Chiapas,07,San Cristobal de las Casas
Chiapas,07,Soyalo
Chiapas,07,Tecpatan
Chihuahua,08,Jimenez
Ciudad de México,09,Alvaro Obregon
Ciudad de México,09,Tlahuac
Durango,10,Gomez Palacio
Durango,10,Inde
Durango,10,Panuco de Coronado
Guanajuato,11,Allende
Guanajuato,11,Penjamo
Guerrero,12,Cutzamala de Pinzon
Guerrero,12,Taxco de Alarcon
Hidalgo,13,Acatlan
Hidalgo,13,Nopala de Villagran
Hidalgo,13,San Agustin Tlaxiaca
Jalisco,14,Ayotlan
Jalisco,14,Bolanos
Jalisco,14,EL Arenal
Jalisco,14,San Martin de Bolanos
Jalisco,14,Teocuitatlan de Corona
Jalisco,14,Tlaquepaque
Jalisco,14,Tonala
Jalisco,14,Tototlan
México,15,Acambay
México,15,Chimalhuacan
México,15,Nicolas Romero
México,15,Xonacatlan
Michoacán de Ocampo,16,Lazaro Cardenas
Michoacán de Ocampo,16,Purepero
Michoacán de Ocampo,16,Tarimbaro
Michoacán de Ocampo,16,Yurecuaro
Morelos,17,Tlaltizapan
Morelos,17,Zacatepec de Hidalgo
Nayarit,18,Santa Maria del Oro
Nuevo León,19,Anahuac
Nuevo León,19,Carmen
Nuevo León,19,Dr. Arroyo
Nuevo León,19,Dr. Gonzalez
Nuevo León,19,Garcia
Nuevo León,19,Pesqueria
Oaxaca,20,Juchitan de Zaragoza
Oaxaca,20,San Pedro Totolapa
Oaxaca,20,Santa Cruz Xoxocotlan
Oaxaca,20,Santa Maria Huatulco
Oaxaca,20,Santa Maria del Tule
Querétaro,22,San Joaquin
San Luis Potosí,24,Huehuetlan
Sinaloa,25,Cosala
Sonora,26,Banamichi
Sonora,26,Puerto Penasco
Sonora,26,San Luis Rio Colorado
Sonora,26,Yecora
Tabasco,27,Cardenas
Tamaulipas,28,Miguel Aleman
Tamaulipas,28,Xicotencatl
Tlaxcala,29,Apetatitlan de Antonio Carvajal
Tlaxcala,29,Nativitas
Tlaxcala,29,Zitlaltepec de Trinidad Sanchez Santos
Veracruz de Ignacio de la Llave,30,Cordoba
Veracruz de Ignacio de la Llave,30,Cuitlahuac
Veracruz de Ignacio de la Llave,30,Hidalgotitlan
Veracruz de Ignacio de la Llave,30,Medellín
Veracruz de Ignacio de la Llave,30,Panuco
Veracruz de Ignacio de la Llave,30,Temapache
Yucatán,31,Cuzama
Yucatán,31,Merida
Yucatán,31,Seye
Yucatán,31,Tizimin
Zacatecas,32,Concepcion del Oro
Zacatecas,32,General Panfilo Natera
Zacatecas,32,Noria de angeles