cas	sustancia	grupo	iarc	silentsprint	ssi_nombre	ssi_url
76-13-1	1,1,2-Tricloro-1.2.2-Trifluoroetano (CFC-113)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado	No aplica	No aplica
75-01-4	Cloruro de vinilo	Sustancias Organohalogenadas	1	Industrial chemicals	vinyl chloride	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=75-01-4
PFCs	Perfluorocarbonos	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
HFCs	Hidrofluorocarbonos	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
87-68-3	Hexacloro-1,3-Butadieno	Sustancias Organohalogenadas	3	No aparece en el listado	No aplica	No aplica
S/C1	Arsénico (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
Pb	Plomo (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
1717-00-6	1,1-Dicloro-1-Fluoroetano (HCFC-141b)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado	No aplica	No aplica
58-89-9	Lindano (HCH)	Plaguicidas	1	No aparece en el listado	No aplica	No aplica
7440-47-3	Cromo (polvos respirables, humos o vapores)	Metales y sus Compuestos	3	No aparece en el listado	No aplica	No aplica
83-32-9	Acenafteno		3	No aparece en el listado	No aplica	No aplica
108-90-7	Clorobenceno (monoclorobenceno)	Sustancias Organohalogenadas	No aparece en el listado	No aparece en el listado	No aplica	No aplica
124-38-9	Bióxido de carbono	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
138261-41-3	Imidacloprid		No aparece en el listado	No aparece en el listado	No aplica	No aplica
74-83-9	Bromuro de metilo	Sustancias Agotadoras de la Capa de Ozono	3	No aparece en el listado	No aplica	No aplica
87-86-5	Pentaclorofenol	Sustancias Organohalogenadas	1	No aparece en el listado	No aplica	No aplica
101-14-4	4,4'metileno-bis (2-cloroanilina) (MBOCA)		1	Industrial chemicals	4,4 '-methylene-bis(2-chloroaniline)	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=101-14-4
71-55-6	1,1,1-Tricloroetano	Sustancias Agotadoras de la Capa de Ozono	2A	No aparece en el listado	No aplica	No aplica
5124-30-1	1,1-metileno bis(4-isocianato de ciclohexano)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado	No aplica	No aplica
76-15-3	Cloropentafluoroetano (CFC-115)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado	No aplica	No aplica
S/C4	Mercurio (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
88-06-2	2,4,6-Triclorofenol	Sustancias Organohalogenadas	2B	No aparece en el listado	No aplica	No aplica
26628-22-8	Azida de sodio		No aparece en el listado	No aparece en el listado	No aplica	No aplica
100-42-5	Estireno (fenil etileno)	Hidrocarburos Aromáticos y Alifáticos	2A	Industrial chemicals	styrene	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=100-42-5
121-14-2	2,4-Dinitrotolueno	Hidrocarburos Aromáticos y Alifáticos	2B	Industrial chemicals	2,4-dinitrotoluene	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=121-14-2
Ni	Níquel (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
95-95-4	2,4,5-Triclorofenol	Sustancias Organohalogenadas	No aparece en el listado	No aparece en el listado	No aplica	No aplica
298-00-0	Metil paration	Plaguicidas	3	No aparece en el listado	No aplica	No aplica
62-75-9	Nitrosodimetilamina	Hidrocarburos Aromáticos y Alifáticos	2A	No aparece en el listado	No aplica	No aplica
6923-22-4	Monocrotofos		No aparece en el listado	No aparece en el listado	No aplica	No aplica
S/C3	Cromo (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
S/C11	Furanos	Compuestos Orgánicos Persistentes (COP)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
S/C5	Níquel (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
58-90-2	2,3,4,6-Tetraclorofenol	Sustancias Organohalogenadas	No aparece en el listado	No aparece en el listado	No aplica	No aplica
S/C10	Dioxinas	Compuestos Orgánicos Persistentes (COP)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
118-52-5	1,3-dicloro-5,5-dimetilhidantoína		No aparece en el listado	No aparece en el listado	No aplica	No aplica
79-00-5	1,1,2-Tricloroetano	Sustancias Organohalogenadas	3	No aparece en el listado	No aplica	No aplica
Hg	Mercurio (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
2837-89-0	2-Cloro-1,1,2,2-Tetrafluoroetano (HCFC-124)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado	No aplica	No aplica
74-82-8	Metano	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
72-20-8	Endrin	Compuestos Orgánicos Persistentes (COP)	3	No aparece en el listado	No aplica	No aplica
92-52-4	Bifenilo	Hidrocarburos Aromáticos y Alifáticos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
95-50-1	1,2-Diclorobenceno	Sustancias Organohalogenadas	3	No aparece en el listado	No aplica	No aplica
55-56-1	Clorhexidina		No aparece en el listado	No aparece en el listado	No aplica	No aplica
105-39-5	Cloroacetato de etilo		No aparece en el listado	No aparece en el listado	No aplica	No aplica
7439-97-6	Mercurio	Metales y sus Compuestos	3	No aparece en el listado	No aplica	No aplica
107-13-1	Acrilonitrilo	Otras sustancias RETC	2B	Industrial chemicals	acrylonitrile	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=107-13-1
PCDDs	Dioxinas	Compuestos Orgánicos Persistentes (COP)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
56-23-5	Tetracloruro de carbono	Sustancias Agotadoras de la Capa de Ozono	2B	Chlorinated solvent	carbon tetrachloride 	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=56-23-5
76-14-2	Diclorotetrafluoroetano (CFC-114)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado	No aplica	No aplica
10049-04-4	Dioxido de cloro	Otras sustancias RETC	No aparece en el listado	No aparece en el listado	No aplica	No aplica
207-08-9	Benzo(k)fluoranteno		2B	No aparece en el listado	No aplica	No aplica
72-55-9	Diclorodifenildicloroetileno (DDE)		No aparece en el listado	No aparece en el listado	No aplica	No aplica
108-95-2	Fenol	Hidrocarburos Aromáticos y Alifáticos	3	No aparece en el listado	No aplica	No aplica
75-25-2	Bromoformo	Sustancias Organohalogenadas	3	No aparece en el listado	No aplica	No aplica
75-45-6	Clorodifluorometano (HCFC-22)	Sustancias Agotadoras de la Capa de Ozono	3	No aparece en el listado	No aplica	No aplica
302-01-2	Hidracina	Otras sustancias RETC	2A	Industrial chemicals	hydrazine	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=302-01-2
110-80-5	2-Etoxietanol (Termonoetilico de etilenglicol)	Otras sustancias RETC	No aparece en el listado	No aparece en el listado	No aplica	No aplica
62-53-3	Anilina	Hidrocarburos Aromáticos y Alifáticos	2A	No aparece en el listado	No aplica	No aplica
As	Arsénico (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
56-55-3	Benzo(a)antraceno		2B	No aparece en el listado	No aplica	No aplica
7758-98-7	Sulfato de cobre		No aparece en el listado	No aparece en el listado	No aplica	No aplica
75-69-4	Triclorofluoroetano (CFC-11)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado	No aplica	No aplica
1332-21-4	Asbesto	Otras sustancias RETC	1	No aparece en el listado	No aplica	No aplica
7761-88-8	Nitrato de plata		No aparece en el listado	No aparece en el listado	No aplica	No aplica
115-29-7	Endosulfan	Plaguicidas	No aparece en el listado	No aparece en el listado	No aplica	No aplica
50-32-8	Benzo(a)pireno		1	Product of combustion	benzo[a]pyrene	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=50-32-8
10102-44-0	Bióxido de nitrógeno	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
98-82-8	Cumeno		2B	No aparece en el listado	No aplica	No aplica
57-12-5	Cianuro inorgánico/orgánico	Otras sustancias RETC	No aparece en el listado	No aparece en el listado	No aplica	No aplica
79-01-6	Tricloroetileno	Hidrocarburos Aromáticos y Alifáticos	1	No aparece en el listado	No aplica	No aplica
S/C9	Perfluorocarbonos	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
84-74-2	Dibutilftalato	Hidrocarburos Aromáticos y Alifáticos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
108-88-3	Tolueno		3	No aparece en el listado	No aplica	No aplica
50-00-0	Formaldehido	Otras sustancias RETC	1	No aparece en el listado	No aplica	No aplica
193-39-5	Indeno(1,2,3-c,d)pireno		2B	No aparece en el listado	No aplica	No aplica
8001-35-2	Toxafeno	Compuestos Orgánicos Persistentes (COP)	2B	No aparece en el listado	No aplica	No aplica
S/C6	Plomo (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
4098-71-9	Diisocianato de isoforona		No aparece en el listado	No aparece en el listado	No aplica	No aplica
PCDFs	Furanos	Compuestos Orgánicos Persistentes (COP)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
107-02-8	Acroleina	Otras sustancias RETC	2A	No aparece en el listado	No aplica	No aplica
79-06-1	Acrilamina	Otras sustancias RETC	2A	Industrial chemicals	acrylamide	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=79-06-1
2921-88-2	Clorpirifos		No aparece en el listado	No aparece en el listado	No aplica	No aplica
71-43-2	Benceno	Hidrocarburos Aromáticos y Alifáticos	1	Industrial chemicals	benzene	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=71-43-2
76-44-8	Heptacloro	Compuestos Orgánicos Persistentes (COP)	2B	No aparece en el listado	No aplica	No aplica
91-59-8	Beta-naftalina	Hidrocarburos Aromáticos y Alifáticos	1	No aparece en el listado	No aplica	No aplica
75-09-2	Cloruro de metileno	Sustancias Organohalogenadas	2A	Chlorinated solvent	methylene chloride 	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=75-09-2
67-72-1	Hexacloroetano	Sustancias Organohalogenadas	2B	No aparece en el listado	No aplica	No aplica
106-46-7	1,4-Diclorobenceno	Sustancias Organohalogenadas	2B	No aparece en el listado	No aplica	No aplica
1330-20-7	Xileno (mezcla de isómeros)		3	No aparece en el listado	No aplica	No aplica
123-91-1	Dioxano	Otras sustancias RETC	2B	Industrial chemicals	1,4-dioxane	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=123-91-1
2551-62-4	Hexafluoruro de azufre	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
7440-38-2	Arsénico	Metales y sus Compuestos	1	No aparece en el listado	No aplica	No aplica
106-99-0	Butadieno	Otras sustancias RETC	1	Industrial chemicals	1,3-butadiene	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=106-99-0
S/C8	Hidrofluorocarbonos	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
1330-78-5	Fosfato de tris(metilfenilo)		No aparece en el listado	No aparece en el listado	No aplica	No aplica
108-05-4	Acetato de vinilo		2B	No aparece en el listado	No aplica	No aplica
72-43-5	Metoxicloro	Plaguicidas	3	No aparece en el listado	No aplica	No aplica
10024-97-2	Oxido nitroso	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
9016-87-9	Diisocianato de difenilmetano polimérico	Sustancias Organohalogenadas	3	No aparece en el listado	No aplica	No aplica
74-87-3	Clorometano	Sustancias Organohalogenadas	3	No aparece en el listado	No aplica	No aplica
75-71-8	Diclorodifluorometano (CFC-12)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado	No aplica	No aplica
7440-02-0	Níquel (polvos respirables, humos o vapores)	Metales y sus Compuestos	2B	No aparece en el listado	No aplica	No aplica
74-90-8	Cianuro de hidrógeno		No aparece en el listado	No aparece en el listado	No aplica	No aplica
26471-62-5	Tolueno diisocianato	Hidrocarburos Aromáticos y Alifáticos	2B	Industrial chemicals	toluene diisocyanate mixtures	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=26471-62-5
1763-23-1	Ácido sulfónico de perfluorooctano y sus sales		No aparece en el listado	No aparece en el listado	No aplica	No aplica
1897-45-6	Clorotalonil		2B	No aparece en el listado	No aplica	No aplica
57-74-9	Clordano	Compuestos Orgánicos Persistentes (COP)	2B	No aparece en el listado	No aplica	No aplica
92-67-1	4-Amino difenilo	Hidrocarburos Aromáticos y Alifáticos	1	Dyes	4-aminobiphenyl	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=92-67-1
118-74-1	Hexaclorobenceno	Compuestos Orgánicos Persistentes (COP)	2B	No aparece en el listado	No aplica	No aplica
94-75-7	Acido 2,4 Diclorofenoxiacetico	Plaguicidas	2B	No aparece en el listado	No aplica	No aplica
7783-06-4	Acido sulfhídrico	Otras sustancias RETC	No aparece en el listado	No aparece en el listado	No aplica	No aplica
110-86-1	Piridina	Hidrocarburos Aromáticos y Alifáticos	2B	No aparece en el listado	No aplica	No aplica
Cd	Cadmio (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
205-99-2	Benzo(b)fluoranteno		2B	No aparece en el listado	No aplica	No aplica
106-89-8	Epiclorhidrina	Sustancias Organohalogenadas	2A	No aparece en el listado	No aplica	No aplica
542-88-1	Eter bis-cloro metilico	Sustancias Organohalogenadas	1	No aparece en el listado	No aplica	No aplica
S/C2	Cadmio (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
S/C7	Hidrobromofluorocarbonos	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
1309-64-4	Antimonio trióxido		No aparece en el listado	No aparece en el listado	No aplica	No aplica
101-68-8	Metileno bis(fenilisocianato)		3	No aparece en el listado	No aplica	No aplica
306-83-2	2,2-Dicloro-1,1,1-Trifluoroetano (HCFC-123)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado	No aplica	No aplica
106-51-4	P-benzoquinona		3	No aparece en el listado	No aplica	No aplica
7439-92-1	Plomo (polvos respirables, humos o vapores)		2B	No aparece en el listado	No aplica	No aplica
126-72-7	Fosfato de tris(2,3-dibromopropilo)		2A	No aparece en el listado	No aplica	No aplica
Cr	Cromo (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
107-06-2	1,2,-Dicloroetano	Sustancias Organohalogenadas	2B	Chlorinated solvent	1,2-dichloroethane	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=107-06-2
75-21-8	Oxido de etileno		1	Industrial chemicals	ethylene oxide	http://sciencereview.silentspring.org/mamm_detail.cfm?cid=75-21-8
1336-36-3	Bifenilos policlorados	Compuestos Orgánicos Persistentes (COP)	1	No aparece en el listado	No aplica	No aplica
67-66-3	Cloroformo	Sustancias Organohalogenadas	2B	No aparece en el listado	No aplica	No aplica
75-07-0	Acetaldehido	Otras sustancias RETC	2B	No aparece en el listado	No aplica	No aplica
120-82-1	Triclorobenceno	Hidrocarburos Aromáticos y Alifáticos	No aparece en el listado	No aparece en el listado	No aplica	No aplica
79-34-5	1,1,2,2-Tetracloroetano	Sustancias Organohalogenadas	2B	No aparece en el listado	No aplica	No aplica
72-02-8	Endrin	Compuestos Orgánicos Persistentes (COP)	No aparece en el listado	No aparece en el listado	No aplica	No aplica
79-46-9	2-Nitropropano	Otras sustancias RETC	2B	No aparece en el listado	No aplica	No aplica
7440-43-9	Cadmio	Metales y sus Compuestos	1	No aparece en el listado	No aplica	No aplica
81-81-2	Warfarina	Plaguicidas	No aparece en el listado	No aparece en el listado	No aplica	No aplica
